travel_order_sentence,start,end,middle
Je dois passer à Villers st genest pour me rendre Balesta de Blequin mais je préfère passer par Aromas finalement,Blequin,Balesta,Aromas
Ça sera Peyrusse grande La neuville sur oudeuil puis Aulnay la riviere,Peyrusse grande,Aulnay la riviere,La neuville sur oudeuil
Je dois partir de Plaisir-Grignon merde de Morcenx pour aller à Sérifontaine fait un petit détour à Quimperlé,Morcenx,Sérifontaine,Quimperlé
Je veux pas faire Place du Docteur Antoine Béclère ou Allée Irène Némirovsky maintenant c'est Villa Industrielle via Rue Froissart puis Rue de Lorraine,Villa Industrielle,Rue de Lorraine,Rue Froissart
Rue de la Jussienne de Passage Vallet,Passage Vallet,Rue de la Jussienne,
J'aimerais aller devant Voie Co/12 et là je pars de chez moi à Place Baudoyer,Place Baudoyer,Voie Co/12,
Je dois me rendre à Allée Marius Barroux,,Allée Marius Barroux,
Chemin vers La Bachellerie,,La Bachellerie,
Je voulais aller Rue Custine mais finalement ce sera Voie Ar/17 Passage Vallet,Voie Ar/17,Passage Vallet,
Je veux voyager Balesta mais pas directement d'abord je me lance de Tessel et je dois impérativement passer par Aste,Tessel,Balesta,Aste
Sous-le-Bois à Les Aubrais-Orléans Hannon Bailleul-Sir-Berthoult à Meulan-Hardricourt,Bailleul-Sir-Berthoult,Meulan-Hardricourt,
Je dois partir de Marseille-en-Beauvaisis merde de Bar-sur-Aube pour aller à Ebersheim fait un petit détour à Anzeling,Bar-sur-Aube,Ebersheim,Anzeling
Aller à Rue de l'Abbé Rousselot en empruntant le chemin de Voie Dv/13 Rue Cardinal Mercier en partant de Rue Gay-Lussac,Rue Gay-Lussac,Rue de l'Abbé Rousselot,Rue Cardinal Mercier
J'habite à La chapelle aux bois je dois aller à Oissel mais je dois passer par Pussay,,Oissel,Pussay
Tu peux me calculer Avenue des Peupliers Rue Saint-Germain l'Auxerrois,Avenue des Peupliers,Rue Saint-Germain l'Auxerrois,
Ça sera Rue des Dames Route du Champ de Manoeuvres puis Rue Nationale,Rue des Dames,Rue Nationale,Route du Champ de Manoeuvres
Non pas Riom-Châtel-Guyon je voulais dire Le Havre puis Vaulry enfin Presles-Courcelles,Le Havre,Presles-Courcelles,Vaulry
Je dois me rendre à Douzies,,Douzies,
Je suis près de Abeilhan à côté du supermarché je dois impérativement passer à la pharmacie de Belflou avant d'me rendre à Trezeny,Abeilhan,Trezeny,Belflou
Passe par Brabant en argonne entre Oberdorff et Peyrusse grande,Oberdorff,Peyrusse grande,Brabant en argonne
Nouveau trajet alors comment dire Je pars de Rue de Lorraine je dois finir à Avenue Joseph Bédier mais avant la fin je dois voir quelqu'un à Place Jean de Bueil,Rue de Lorraine,Avenue Joseph Bédier,Place Jean de Bueil
Je dois passer par Gennes-Longuefuye pour aller à Mazières-Verruyes en partant de Provins,Provins,Mazières-Verruyes,Gennes-Longuefuye
On part de Ceton on s'arrête en face de Igoville puis direction Peyrusse grande,Ceton,Peyrusse grande,Igoville
Chemin vers Montrecourt,,Montrecourt,
Je dois rejoindre Rue de Monbel je suis Voie Co/12,Voie Co/12,Rue de Monbel,
Tu m'indiques St-Martin-le-Beau Valenciennes,St-Martin-le-Beau,Valenciennes,
Aller à Dunkerque-Port-Ouest,,Dunkerque-Port-Ouest,
Passage Vallet vers Rue Henri Pape Allée Adrienne Lecouvreur plutôt,Passage Vallet,Allée Adrienne Lecouvreur,
Je dois passer à Baneuil pour me rendre Aulnay la riviere de Moulin neuf mais je préfère passer par Courmemin finalement,Moulin neuf,Aulnay la riviere,Courmemin
Je dois être Eaucourt sur somme rapidement je suis Cranves sales,Cranves sales,Eaucourt sur somme,
C’est quoi le chemin pour aller de Rue Notre-Dame des Victoires à Avenue de la Bourdonnais,Rue Notre-Dame des Victoires,Avenue de la Bourdonnais,
Pas par Lironville direct de Petit couronne vers Remereville,Petit couronne,Remereville,
Pour aller de Provins à Lérouville je dois d'abord passer par Aumale,Provins,Lérouville,Aumale
Je veux aller de Fourchambault à Pignans mais je dois d'abord aller à Épanvilliers,Fourchambault,Pignans,Épanvilliers
Boulevard de Port-Royal par Rue du Pré aux Clercs,,Boulevard de Port-Royal,Rue du Pré aux Clercs
Départ Lurcy arrivée Quercitello,Lurcy,Quercitello,
Hey tu peux me déposer à Écommoy ah et sur le chemin faut qu'on s'arrête à Molinges,,Écommoy,Molinges
Depuis Rue Xavier Privas je vais comment à Square des Aliscamps,Rue Xavier Privas,Square des Aliscamps,
Hey tu peux me déposer à Poliénas Ah et sur le chemin faut qu'on s'arrête à Achères-Grand-Cormier Je t'attends à Montaigut,Montaigut,Poliénas,Achères-Grand-Cormier
Quai Saint-Bernard vers Villa Marie Vassilieff Voie Bh/17 plutôt,Quai Saint-Bernard,Voie Bh/17,
Rue Xavier Privas vers Rue Courat Rue Eugène Jumin plutôt,Rue Xavier Privas,Rue Eugène Jumin,
Calcule-moi Ste foy la longue passe par Cloyes les trois rivieres fini à Tessel vite,Ste foy la longue,Tessel,Cloyes les trois rivieres
Je dois choper quelque chose à Notre dame de riez en allant de Virieu le grand vers Tournon sur rhone,Virieu le grand,Tournon sur rhone,Notre dame de riez
Ça sera La chapelle hareng St geneys pres st paulien puis St maximin la ste baume,La chapelle hareng,St maximin la ste baume,St geneys pres st paulien
Je dois faire Place Jean Monnet Avenue des Peupliers aujourd'hui,Place Jean Monnet,Avenue des Peupliers,
Tu peux me calculer St-Cyr Les Saules,St-Cyr,Les Saules,
Je suis fatigué et je vais aller à la maison qui est à Tagolsheim mais je dois d'abord aller au travail puis partir de St-Georges-de-Commiers pour aller à la maison,St-Georges-de-Commiers,Tagolsheim,
Pour se diriger à Rue de Montevideo je dois impérativement traverser Place de Varsovie Rue Delouvain je voulais dire et je débute à Souterrain Berger Est,Souterrain Berger Est,Rue de Montevideo,Rue Delouvain
Je veux aller à Cité Hittorf mais pas directement d'abord je pars de Boulevard de Port-Royal et je dois passer par Place Henri Fiszbin,Boulevard de Port-Royal,Cité Hittorf,Place Henri Fiszbin
J'aimerais aller de Virieu le grand à St jouan des guerets ah non Mezerolles en passant par Ecalles alix,Virieu le grand,Mezerolles,Ecalles alix
Ça sera Rue Jeanne Jugan Place Jacqueline François puis Rue du Père Corentin,Rue Jeanne Jugan,Rue du Père Corentin,Place Jacqueline François
Emmène-moi à Thann-St-Jacques,,Thann-St-Jacques,
Je veux aller de Ste mere jusqu'à Moulin neuf mais pas directement Faut que je fasse un arrêt à Conflans en jarnisy avant d'arriver,Ste mere,Moulin neuf,Conflans en jarnisy
Aller à Chemin des Gravilliers en empruntant le parcours de Place Gabriel Péri Square de Châtillon en partant de Rue du Chalet,Rue du Chalet,Chemin des Gravilliers,Square de Châtillon
Je pars de Seurre vers Avenay et St-Pierre-la-Cour,Seurre,St-Pierre-la-Cour,Avenay
Comment on va de Mohon à St-Armel,Mohon,St-Armel,
Je suis à Le Monastier faut se diriger vers Époisses puis Argelès-sur-Mer,Le Monastier,Argelès-sur-Mer,Époisses
Nouveau trajet alors comment dire Je pars de Cuissai je dois finir à Montchauvet mais avant la fin je dois voir quelqu'un à Villers le tourneur,Cuissai,Montchauvet,Villers le tourneur
J'ai fait Auchel ce matin Belvezet à midi maintenant calcule-moi Beaucourt en santerre vers Laval en belledonne,Beaucourt en santerre,Laval en belledonne,
Mon planning a changé plus besoin d'aller vers Alaincourt juste Bulson mais pas Loudenvielle direction Espeyrac,Bulson,Espeyrac,
J'ai un parcours un peu particulier Peyrusse grande pour commencer Droue sur drouette au milieu et Le crotoy pour terminer,Peyrusse grande,Le crotoy,Droue sur drouette
Je dois passer par St-Dizier pour aller à Chambly en partant de Meximieux-Pérouges,Meximieux-Pérouges,Chambly,St-Dizier
Comment va de Igny Bibliothèque-François-Mitterrand,Igny,Bibliothèque-François-Mitterrand,
Pas Paroy sur tholon je veux dire de Surmont pour aller Arfons et du coup je passe pas par Verrieres de joux,Surmont,Arfons,
Bien que Bairon et ses environs soit plus court je préfère aller de Oissel à Tournon sur rhone en passant par Pillac,Oissel,Tournon sur rhone,Pillac
Hier c'était Rue Leroi Gourhan aujourd'hui c'est Voie Gc/13 escale Rue du Printemps terminus Porte Saint-James,Voie Gc/13,Porte Saint-James,Rue du Printemps
Je dois me rendre devant Joncherey pardon Bourg-St-Maurice de Pont-Cardinet,Pont-Cardinet,Bourg-St-Maurice,
Avant d'arriver à St anthot il faut que je absolument faire un stop à Pouylebon,,St anthot,Pouylebon
Je suis Rue Saint-Germain l'Auxerrois je veux aller Impasse de Joinville,Rue Saint-Germain l'Auxerrois,Impasse de Joinville,
Position actuelle St-Varent direction Chamonix-Mont-Blanc Hannon je voulais dire Naintré-les-Barres,St-Varent,Naintré-les-Barres,
Il me faut un itinéraire Les riceys Chateau gaillard,Les riceys,Chateau gaillard,
Je dois être à St-Armel avant midi je pars de Le Grand-Jardin,Le Grand-Jardin,St-Armel,
Je dois passer à Rue Pecquay pour me rendre Rue du Cardinal Dubois de Rue du Soleil mais je préfère passer par Impasse Saint-François finalement,Rue du Soleil,Rue du Cardinal Dubois,Impasse Saint-François
Rue Guy Môquet Voie Ee/20 par Rue Serge Prokofiev,Rue Guy Môquet,Voie Ee/20,Rue Serge Prokofiev
Le magasin de Campagne sur aude est fermé du coup je dois partir de Poinson les fayl m'arrêter à Lagos pour aller à Aulnay la riviere,Poinson les fayl,Aulnay la riviere,Lagos
Je dois rejoindre Bulson je pars de St priest la roche,St priest la roche,Bulson,
Aller à Poliénas en empruntant le parcours de Jussey Sillé-le-Guillaume en partant de Montigny-Beauchamp,Montigny-Beauchamp,Poliénas,Sillé-le-Guillaume
Si je suis à Blequin et que je dois aller jusqu'a Espedaillac tu peux me faire passer par Recanoz c'est important pour moi,Blequin,Espedaillac,Recanoz
Trop de bouchons vers Chemin je prends Chaudardes Tanis,Chaudardes,Tanis,
De Rue Xavier Privas à Rue Henri Moissan Rue Vandrezanne et Allée du Brindeau sont barrés,Rue Xavier Privas,Rue Henri Moissan,
Le GPS Bugge à Obermodern direction La Bachellerie Neuilly-sur-Marne,La Bachellerie,Neuilly-sur-Marne,
Position actuelle Avenue du Général Détrie direction Rue Quincampoix Hannon je voulais dire Rue Mercoeur,Avenue du Général Détrie,Rue Mercoeur,
Je dois rejoindre Impasse des Peintres je pars de Rue Malte Brun,Rue Malte Brun,Impasse des Peintres,
Comment puis-je aller à Place de Barcelone de Place Joachim du Bellay par Rue Eugène Carrière,Place Joachim du Bellay,Place de Barcelone,Rue Eugène Carrière
On part de Ceton on s'arrête en face de Bellerive sur allier puis St etienne de puycorbier,Ceton,St etienne de puycorbier,Bellerive sur allier
J'hésite entre Cité du Wauxhall et Impasse des Crins non en fait Rue de l'Evangile direction Rue Lisfranc,Rue de l'Evangile,Rue Lisfranc,
Passage Barrault fermé Route des Lacs à Madrid bloqué Rue du Général de Langle de Cary annulé donc Rue de Monbel Allée Marius Barroux,Rue de Monbel,Allée Marius Barroux,
Boulevard de Denain c'est où,,Boulevard de Denain,
Pour aller à Andance je dois traverser Loffre St aubin le monial je voulais dire et je débute à Aulnay la riviere,Aulnay la riviere,Andance,St aubin le monial
Est-ce possible d'aller à Cité du Sacré-Coeur depuis Rue Rouget de l'Isle avec un arrêt à Place Carmen,Rue Rouget de l'Isle,Cité du Sacré-Coeur,Place Carmen
Je suis à Rue Gay-Lussac faut aller à Square de Châtillon puis Rue des Immeubles Industriels,Rue Gay-Lussac,Rue des Immeubles Industriels,Square de Châtillon
Emmène-moi à Herrlisheim-près-Colmar non je voulais dire à Tagolsheim et là je suis à Châteaulin,Châteaulin,Tagolsheim,
Comment de Chaudardes à Sauville,Chaudardes,Sauville,
Rue du Commandeur arrêt Rue du Japon fin Rue des Immeubles Industriels,Rue du Commandeur,Rue des Immeubles Industriels,Rue du Japon
Je suis fatigué et je vais aller à la maison qui est à Rue Montmartre mais je dois d'abord aller au travail puis partir de Rue Henry de Bournazel pour aller à la maison,Rue Henry de Bournazel,Rue Montmartre,
Pas Tourch plutôt de Esperce à St jean aux amognes ou plutôt Chamigny,Esperce,Chamigny,
Rue Xavier Privas vers Rue Malassis non Impasse des Trois Soeurs,Rue Xavier Privas,Impasse des Trois Soeurs,
Je veux aller de Jonville en woevre à Veney,Jonville en woevre,Veney,
Alors Passage du Charolais attends voilà Voie Cd/15 Place Gabriel Kaspereit par Allée de Bercy,Voie Cd/15,Place Gabriel Kaspereit,Allée de Bercy
Oublie Les Perrières calcule Provins Brassac-les-Mines-Ste-Florine par Cannes-Marchandises,Provins,Brassac-les-Mines-Ste-Florine,Cannes-Marchandises
Je veux voyager Xertigny mais pas directement d'abord je me lance de Mazières-Verruyes et je dois impérativement passer par Uzel,Mazières-Verruyes,Xertigny,Uzel
Surmont vers La courneuve non Royaucourt,Surmont,Royaucourt,
Je pars de Pont au Double je vais à Boulevard Lannes,Pont au Double,Boulevard Lannes,
Je dois rejoindre Remereville je pars de Guincourt,Guincourt,Remereville,
Bien que Avenue du Nouveau Conservatoire soit plus court je préfère aller de Rue de Palestine à Cité du Sacré-Coeur en passant par Rue du Cotentin,Rue de Palestine,Cité du Sacré-Coeur,Rue du Cotentin
Le GPS bug à Rue Philibert Lucot direction Rue de Tolbiac Allée Adrienne Lecouvreur,Rue de Tolbiac,Allée Adrienne Lecouvreur,
Paris-Gare-de-Lyon,,Paris-Gare-de-Lyon,
J'ai eu un rendez-vous chez mon ami qui habite dans le nord de Camblanes et meynac j'habite pas loin de Pepieux et je dois pas aller à Beauvoir mais à côté à Hohrod,Pepieux,Hohrod,
Je dois passer par Cité de Chabrol pour aller à Rue Jules Pichard en partant de Rue Guy Môquet,Rue Guy Môquet,Rue Jules Pichard,Cité de Chabrol
Besoin d'un chauffeur départ Rue Quincampoix arrêt obligatoire à Place Edouard Renard arrivée finale Rue des Immeubles Industriels,Rue Quincampoix,Rue des Immeubles Industriels,Place Edouard Renard
Je veux pas faire Vincey ou Montbartier maintenant c'est Uzel pres l oust via Birieux puis Le crotoy,Uzel pres l oust,Le crotoy,Birieux
Étriché-Châteauneuf depuis Lille CHR,Lille CHR,Étriché-Châteauneuf,
Avant d'arriver à Royeres il faut que je absolument faire un stop à Burey,,Royeres,Burey
Je veux aller de Voie Cd/20 à Rue Guy Môquet mais je dois d'abord aller à Rue Lacaze,Voie Cd/20,Rue Guy Môquet,Rue Lacaze
Position Lourdes destination finale Porchefontaine,Lourdes,Porchefontaine,
Pour arriver à Urt je dois partir de Ancenis non de Bouray,Bouray,Urt,
Rue Henri Duvernois par Rue Jacquard ah non Voie Ee/20 par Rue Baron pour Voie Gc/13,Voie Ee/20,Voie Gc/13,Rue Baron
Je dois passer par Renescure pour me diriger à Isques en partant de Ceton,Ceton,Isques,Renescure
Je vais faire Le crotoy Tournon sur rhone en passant par Sanvignes les mines,Le crotoy,Tournon sur rhone,Sanvignes les mines
Je dois passer par Chaponost pour aller à Beuvrages en partant de Marolles-en-Hurepoix,Marolles-en-Hurepoix,Beuvrages,Chaponost
J'ai rendez-vous Bouray je pars de Boussay-La Bruffière,Boussay-La Bruffière,Bouray,
J'habite à Avenue Ernest Renan je dois aller à Rue Nationale mais je dois passer par Avenue Benoît Frachon en partant de Rue de la Folie-Méricourt,Rue de la Folie-Méricourt,Rue Nationale,Avenue Benoît Frachon
Hey tu peux me déposer à Rue Jules Pichard Ah et sur le chemin faut qu'on s'arrête à Rue Sauval Je t'attends à Rue Quincampoix,Rue Quincampoix,Rue Jules Pichard,Rue Sauval
Comment se rendre à Rue Lisfranc en partant de Rue Xavier Privas,Rue Xavier Privas,Rue Lisfranc,
La chapelle aux lys par St jean de nay ah non St maximin la ste baume par Foulain pour Pradelles,St maximin la ste baume,Pradelles,Foulain
Rue Guy Môquet Souterrain Berger Est en suivant le chemin de Rue Albert Samain,Rue Guy Môquet,Souterrain Berger Est,Rue Albert Samain
Rue de la Ferme de Savy en quittant Rue Lisfranc je voulais dire que je vais à Boulevard Lannes,Rue Lisfranc,Boulevard Lannes,
Comment rejoindre Rue du Colonel Oudot depuis Rue Bernard Tétu,Rue Bernard Tétu,Rue du Colonel Oudot,
Je vis à Puygaillard de lomagne je cherche à partir de la ville la plus proche qui est Oberdorff pour aller à Baslieux mais je souhaiterais passer par Genelard pour voir ma famille,Oberdorff,Baslieux,Genelard
Val des pres vers Ornolac ussat les bains non Lebetain,Val des pres,Lebetain,
Le GPS bug à Laguépie direction Lourdes Héricy,Lourdes,Héricy,
Comment rejoindre Pérenchies depuis La Bachellerie,La Bachellerie,Pérenchies,
Veux me rendre chez mon ami qui habite à Voie Gc/13 en partant de Place Gambetta mais avant je me rends à Rue Rotrou,Place Gambetta,Voie Gc/13,Rue Rotrou
Mon ami m'attendait à Corbie mais finalement il sera à Wilwisheim sur ma route de Montigny-Beauchamp à Morcenx,Montigny-Beauchamp,Morcenx,Wilwisheim
Comment je fais Loupiac de la reole Douvres,Loupiac de la reole,Douvres,
Nouveau trajet alors comment dire Je pars de Voie Cd/15 je dois finir à Rue Rouget de l'Isle mais avant la fin je dois voir quelqu'un à Cour Greneta,Voie Cd/15,Rue Rouget de l'Isle,Cour Greneta
Je veux aller de La cabanasse jusqu'à May sur orne mais pas directement Faut que je fasse un arrêt à Biches avant d'arriver,La cabanasse,May sur orne,Biches
Il me faut une route de Rue de Passy ah non attends ah oui de Rue Jeanne Jugan à Rue du Soleil mais avec un détour devant Rue Jean Colly s'il te plaît,Rue Jeanne Jugan,Rue du Soleil,Rue Jean Colly
Je veux pas faire Pere ou Blevaincourt maintenant c'est Millencourt via Castillon puis Le monteil,Millencourt,Le monteil,Castillon
La roche posay à partir de Pepieux,Pepieux,La roche posay,
Allée Marius Barroux Rue Henri Moissan je fais comment,Allée Marius Barroux,Rue Henri Moissan,
Trouve-moi une route je suis actuellement à Péronne-la-Chapelette ah oui et avant d'arriver à Wimille-Wimereux je dois absolument faire un stop à St-Yrieix,Péronne-la-Chapelette,Wimille-Wimereux,St-Yrieix
J'ai dit Strasbourg-Cronenbourg non St-Varent vers Coursan,St-Varent,Coursan,
Avenue de la Grande Armée direct apres Place de Dublin depart Rue Bosquet,Rue Bosquet,Avenue de la Grande Armée,Place de Dublin
Je dois poser quelque chose à St-Aubin-du-Vieil-Évreux entre Beuvrages et Argelès-sur-Mer,Beuvrages,Argelès-sur-Mer,St-Aubin-du-Vieil-Évreux
Le GPS Bugge à Crach direction Bilieu Brantigny,Bilieu,Brantigny,
Je vais de St-Armel à Coursan pas à Champbenoist-Poigny,St-Armel,Coursan,
J'ai un colis à récupérer à Heilles-Mouchy en allant de Maule à Vélines,Maule,Vélines,Heilles-Mouchy
Vas-y on bouge de Val des pres direct Espeyrac,Val des pres,Espeyrac,
Voie Fd/20 vers Esplanade Roger Boscovich Rue Saint-Germain l'Auxerrois plutôt,Voie Fd/20,Rue Saint-Germain l'Auxerrois,
Je suis St-Cyr je veux aller Hoelschloch,St-Cyr,Hoelschloch,
Il neige à Place d'Estienne d'Orves du coup je pars de Villa Nouvelle arrêt à Avenue du Général Eisenhower destination Cité du Sacré-Coeur,Villa Nouvelle,Cité du Sacré-Coeur,Avenue du Général Eisenhower
Pour aller de Voie Ee/20 à Rue des Immeubles Industriels je dois d'abord passer par Square des Mimosas,Voie Ee/20,Rue des Immeubles Industriels,Square des Mimosas
Je veux me rendre à Trezeny en passant par Vinay alors que je suis actuellement à La collancelle,La collancelle,Trezeny,Vinay
Faut passer à Allassac entre Le Monastier et Brassac-les-Mines-Ste-Florine pour récup un truc,Le Monastier,Brassac-les-Mines-Ste-Florine,Allassac
Rue de Boulainvilliers par Rue Jean Maridor Hannon Boulevard de Port-Royal par Impasse de l'Hôtel d'Argenson pour Rue de Lorraine,Boulevard de Port-Royal,Rue de Lorraine,Impasse de l'Hôtel d'Argenson
Hier c'était Rue Henry Monnier aujourd'hui c'est Rue du Père Corentin escale Rue Ponscarme terminus Square du Périgord,Rue du Père Corentin,Square du Périgord,Rue Ponscarme
Donc je vais chez un ami à Menton-Garavan et là je suis actuellement à St-Cyr,St-Cyr,Menton-Garavan,
Mon pote m'attend à Rue Malte Brun faut qu'on aille à Pont au Double,Rue Malte Brun,Pont au Double,
Grainville sur odon vers Nanclars non Sorrus,Grainville sur odon,Sorrus,
J'ai une course à faire Moulins-sur-Allier est sur mon trajet de Montigny-Beauchamp à Xertigny,Montigny-Beauchamp,Xertigny,Moulins-sur-Allier
De Taverny pardon de Frynaudour jusqu'à Pérenchies,Frynaudour,Pérenchies,
Je vais à Square Claude Debussy en prenant le chemin qui passe par Passage Dubuffet,,Square Claude Debussy,Passage Dubuffet
Allons à la Oissel en partant de Virieu le grand mais avant ça je veux aller à St senoch,Virieu le grand,Oissel,St senoch
De Bouzonville à Wimille-Wimereux avec un crochet à Bessé-sur-Braye avant je voulais aller à Beuvry (Pas-de-Calais) mais finalement je ne vais pas y aller,Bouzonville,Wimille-Wimereux,Bessé-sur-Braye
Non pas St-Chamas je voulais dire Meudon-Val-Fleury puis Livry-sur-Seine enfin Anor,Meudon-Val-Fleury,Anor,Livry-sur-Seine
Je dois aller à Rue Notre-Dame de Recouvrance,,Rue Notre-Dame de Recouvrance,
Calcule-moi Millencourt passe par Val au perche fini à Aspin en lavedan vite,Millencourt,Aspin en lavedan,Val au perche
Pour aller à Place Gabriel Kaspereit je dois traverser Passage Sainte-Anne Popincourt Rue Georges Thill je voulais dire et je débute à Rue Gay-Lussac,Rue Gay-Lussac,Place Gabriel Kaspereit,Rue Georges Thill
Je dois aller à Porchefontaine,,Porchefontaine,
J'ai un parcours un peu particulier Le monteil pour commencer Noyelles les seclin au milieu et Thun l eveque pour terminer,Le monteil,Thun l eveque,Noyelles les seclin
Je suis à Rue Jules Pichard et je veux prendre le chemin qui passe par Rue Scribe pour aller à Rue du Cardinal Dubois,Rue Jules Pichard,Rue du Cardinal Dubois,Rue Scribe
On part de Rue de la Mire on s'arrête en face de Rue Adolphe Adam puis Rue Miguel Hidalgo,Rue de la Mire,Rue Miguel Hidalgo,Rue Adolphe Adam
Pas Domprix plutôt de Planioles à Gredisans ou plutôt Berganty,Planioles,Berganty,
Je dois être à Pont au Double je suis à Voie Bh/17,Voie Bh/17,Pont au Double,
Provins arrêt Les Sables-Blancs fin Pignans,Provins,Pignans,Les Sables-Blancs
J'habite à Montaigut je dois passer par Boigneville pour aller à Péronne-la-Chapelette,Montaigut,Péronne-la-Chapelette,Boigneville
Pour se diriger à Passage des Panoramas je dois impérativement traverser Rue des Panoramas Passage des Lingères je voulais dire et je débute à Rue de la Folie-Méricourt,Rue de la Folie-Méricourt,Passage des Panoramas,Passage des Lingères
Pas par Arc-et-Senans direct de Conflans-Ste-Honorine vers Étriché-Châteauneuf,Conflans-Ste-Honorine,Étriché-Châteauneuf,
Oberdorff Ste mere en suivant le chemin de Savignac mona,Oberdorff,Ste mere,Savignac mona
J'ai besoin d'aller de Rue Montmartre jusqu'à Rue de Tolbiac,Rue Montmartre,Rue de Tolbiac,
Comment aller de St-Armel jusqu'à Meulan-Hardricourt,St-Armel,Meulan-Hardricourt,
J'ai fait Carbini ce matin Alencon à midi maintenant calcule-moi Frehel vers Beaucourt en santerre,Frehel,Beaucourt en santerre,
Voie Bh/17,,Voie Bh/17,
Je vais de Place Georges Berry à Rue de l'Elysée en prenant le chemin qui passe par Cour du Minervois,Place Georges Berry,Rue de l'Elysée,Cour du Minervois
Tu me disais Le tampon hier Manneville la pipard ce matin mais là je veux juste aller de Mayet à Berganty,Mayet,Berganty,
Je suis près de Sérifontaine à côté du supermarché je dois impérativement passer à la pharmacie de St-Denis-des-Murs avant d'me rendre à Mignaloux-Nouaillé,Sérifontaine,Mignaloux-Nouaillé,St-Denis-des-Murs
Le trajet c'est Conflans-Ste-Honorine vers Héricy plus besoin de passer par Carbonne,Conflans-Ste-Honorine,Héricy,
Pour me rendre à Epernay je dois passer par Lubersac en partant de Provins Pignans,Pignans,Epernay,Lubersac
Emmène-moi à Frynaudour là je suis à Metz-Ville,Metz-Ville,Frynaudour,
Je veux faire Igny Naintré-les-Barres,Igny,Naintré-les-Barres,
Aller à Pontrieux en empruntant le chemin de Châtres (Aube) Wizernes en partant de Pins-Justaret,Pins-Justaret,Pontrieux,Wizernes
Non pas Naix aux forges je voulais dire Oberdorff puis Plerin enfin May sur orne,Oberdorff,May sur orne,Plerin
Je dois me rendre devant Aiguillon pardon Jussey de Dunkerque-Port-Ouest,Dunkerque-Port-Ouest,Jussey,
J'ai fait Chamblanc ce matin Carcans à midi maintenant calcule-moi Evillers vers Royaucourt,Evillers,Royaucourt,
Direction Hohrod depuis Royaucourt,Royaucourt,Hohrod,
Faut passer à Macheren entre Virieu le grand et Cuissai pour récup un truc,Virieu le grand,Cuissai,Macheren
Isbergues par Mortcerf,,Isbergues,Mortcerf
Tilly par Courcy ah non Espedaillac par Varages pour Aulnay la riviere,Espedaillac,Aulnay la riviere,Varages
Je vais faire Espedaillac Armix en passant par Lattre st quentin,Espedaillac,Armix,Lattre st quentin
Le GPS bug à Cercottes direction Le Grand-Jardin St-Martin-le-Beau,Le Grand-Jardin,St-Martin-le-Beau,
Je dois passer au travail situé à Melay pour rejoindre mon appartement à Oberdorff et je suis actuellement à St maximin la ste baume,St maximin la ste baume,Oberdorff,Melay
Passe par Rue de l'Egalité entre Chemin des Gravilliers et Passage des Panoramas,Chemin des Gravilliers,Passage des Panoramas,Rue de l'Egalité
Valleroy par Rou marson,,Valleroy,Rou marson
Je pars de Thun l eveque vers Arsac en velay et Royeres,Thun l eveque,Royeres,Arsac en velay
Ma mère m'attend à Allemanche launay et soyer sur la route entre Guiseniers et La collancelle,Guiseniers,La collancelle,Allemanche launay et soyer
Ça sera Villefranche-sur-Cher Émerainville-Pontault-Combault puis Villabé,Villefranche-sur-Cher,Villabé,Émerainville-Pontault-Combault
